rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
71,R190617A,190814,D:\data\R190617A_190814_CNO\PFCvsPCEEG.ncs,0.610,none,CNO,ip,NA,NA,NA,0.5,1,3917.56536500000,,,EMG.ncs,Events.nev,R190617A_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,278+(23/60),Headstage was plugged into the input board.
72,R190617B,190815,D:\data\R190617B_R190618B_190815_saline\PFCvsPCEEG.ncs,0.742,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Headstage broke.
73,R190618B,190815,D:\data\R190617B_R190618B_190815_saline\PFCvsPCEEG2.ncs,0.6705,none,saline,ip,NA,NA,NA,NA,NA,5833.71439000000,,,EMG2.ncs,Events.nev,R190618B_states.mat,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,183.1,
74,R190619A,190816,D:\data\R190619A_R190618B_190816_CNO\PFCvsPCEEG.ncs,0.7345,none,CNO,ip,NA,NA,NA,0.5,1,4811.06166100000,,,EMG.ncs,Events.nev,R190619A_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,66.4,
75,R190618B,190816,D:\data\R190619A_R190618B_190816_CNO\PFCvsPCEEG2.ncs,0.6675,none,CNO,ip,NA,NA,NA,0.5,1,4995.60313700000,,,EMG2.ncs,Events.nev,R190618B_states.mat,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,193+(46/60),
76,R190619A,190819,D:\data\R190619A_190819_saline\PFCvsPCEEG.ncs,0.735,none,saline,ip,NA,NA,NA,NA,NA,3141.59640800000,,,EMG.ncs,Events.nev,R190619A_states.mat,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,274,
77,R190619B,190820,D:\data\R190619B_190820_dexmedetomidine\PFCvsPCEEG.ncs,0.5895,dexmedetomidine,none,NA,0.0003,0.001,55,NA,NA,7992.87252300000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Stopped iso for tail vein cannula at 3:49 pm. Tested righting every 15 min. Righting was lost at 45 min.
78,R190618B,190821,D:\data\R190618B_R190617A_190821_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.6805,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,860.662636,,18,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,44+(46/60),"Saline was given at 10:37 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline."
79,R190617A,190821,D:\data\R190618B_R190617A_190821_syst_dexmedetomidine_saline\PFCvsPCEEG2.ncs,0.6215,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,3009.07939800000,,29,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,88+(52/60),"Saline was given at 11:18 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline."
80,R190620,190822,D:\data\R190620_R190618A_190822_syst_dexmedetomidine_saline\PFCvsPCEEG.ncs,0.6445,dexmedetomidine,saline,ip,0.0003,0.002,45,NA,NA,3052.03417500000,,11,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,40.2,"Saline was given at 11:21 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 0.4 mL of 100 ug/mL dex in 19.6 mL saline. He wouldn't let me turn him over all the way (didn't lose righting reflex), but he was still splayed out, so I just recorded when he started moving again."
